model,threshold,accuracy,precision,recall,f1,roc_auc,cv_f1_mean,cv_f1_std,true_negatives,false_positives,false_negatives,true_positives
XGBoost,0.45,0.882689556509299,0.5333333333333333,0.6292134831460674,0.5773195876288659,0.8450727574138883,0.5147738299345813,0.04968358015656292,561,49,33,56
Random Forest,0.5,0.8025751072961373,0.36464088397790057,0.7415730337078652,0.4888888888888889,0.8309265058021734,0.4874229428589604,0.03059744155090101,495,115,23,66
Logistic Regression,0.5,0.7882689556509299,0.3422459893048128,0.7191011235955056,0.463768115942029,0.8368944557008657,0.46513083103962566,0.023408852456029007,487,123,25,64
